Name	category	price	rating	review_count
The Twisted Apron	Comfort Food,Breakfast & Brunch	$$	3.5	81.0
State Deli & Grocery	Delis,Sandwiches,Grocery	$	4.0	7.0
Le Petit Zinc	French,Coffee & Tea	$$	3.5	237.0
City Wings	Chicken Wings	$	4.0	81.0
Eros	Thai,Chinese,Japanese	$$	4.5	15.0
Avalon International Breads	Bakeries,Sandwiches,Coffee & Tea	$	4.5	269.0
Centre Park Bar	Bars,American (Traditional)	$$	3.0	13.0
Midtown Shangri-La	Dim Sum,Sushi Bars	$$	3.5	196.0
Tommy’s Bar-B-Q	Barbeque,Desserts	$$	4.0	12
Zeff’s Coney Island Restaurant	Diners,Hot Dogs,American (New)	$	4.0	68
Nemo’s Bar	American (Traditional),Sports Bars	$	3.5	69
TOAST Restaurant	Breakfast & Brunch	$$	3.5	21
Wineology	Tapas/Small Plates,Wine Bars,Wine Tasting Room	$$	4.0	11
May Wah Inn Chinese Cuisine	Chinese	$$	4.0	65
The Bistro at the River	American (Traditional),Seafood	$$	2.5	17
Bistro 555	Breakfast & Brunch,American (Traditional),Buffets	$$	3.0	57
Giordano’s	Pizza,Italian,Sandwiches		4.5	6
Tony V’s Tavern	Bars,Burgers,Pizza	$$	4.0	39
The Sushi California	Japanese,Sushi Bars	$$	4.0	43
Spoon Ramen Restaurant	Ramen	$$	4.5	5
Taloola Cafe	Cafes	$$	4.5	38
Dumpling Plus To Go	Chinese	$	5.0	2
Wigley’s Meats & Produce	Meat Shops,Delis	$$	4.0	9
Shawarma Palace	Middle Eastern,Halal	$	4.0	44
Eddy’s Mediterranean Bistro	Lebanese,Mediterranean,Italian	$	4.5	13
Il Gabbiano Ristorante	Italian,Vegan,Seafood	$$$	3.5	17
Bucharest Grill	American (Traditional),Middle Eastern,Desserts	$	3.0	78
Alley Taco	Tacos	$	3.0	118
People’s Pierogi Collective	Polish	$$	4.0	13
Blimpie	Sandwiches	$	5.0	34
Basil Court Restaurant	Thai	$$	3.5	31
Vito’s Olde Walkerville Pizzeria	Pizza	$$	4.0	41
Buffalo Wild Wings	Chicken Wings,American (Traditional),Sports Bars	$$	2.5	102
Ivanhoe Cafe - Polish Yacht Club	American (Traditional),Polish,Seafood	$$	4.5	26
Loco Bar & Grill	Mexican	$$	2.5	86
Acapulco Delight Restaurant	Mexican,Vegetarian,Asian Fusion	$$	4.0	6
Louisiana Creole Gumbo	Cajun/Creole	$	3.5	48
Beyond Juicery + Eatery	Juice Bars & Smoothies,Salad,Sandwiches	$$	4.0	34
Which Wich Superior Sandwiches	Sandwiches,Breakfast & Brunch	$	3.5	23
Pho Xic Lo	Vietnamese	$$	4.0	37
Potbelly Sandwich Shop	Sandwiches	$	3.5	25
Athens Souvlaki	Greek	$	3.5	15
Gateway Deli Cafe	Delis	$$	3.5	25
Milano Bakery	Bakeries,Cafes,Soup	$	4.0	60
Enzo’s Trattoria	Italian	$$	4.0	10
Maccabees Traders	Asian Fusion,Vietnamese	$$	3.5	28
Bombay-Wraps	Food Trucks,Soul Food,Wraps	$$	3.5	49
Toasty’s Grilled Cheese & Salad Bar	Soup,Sandwiches,Canadian (New)	$$	4.5	17
SIR Cedric’s Fish & Chips	Seafood	$$	4.0	19
Detroit One Coney Island	American (Traditional)	$	3.0	71
Southern Fires Bistro & Lounge	Lounges,Seafood,American (Traditional)	$$	3.0	23
Mezzo Ristorante & Lounge	Italian,Lounges	$$$	4.0	15
Terra Cotta Pizzeria	Pizza	$$	4.0	21
Loco’s Tex-Mex Grille	Tex-Mex	$$	2.5	27
They Say	American (New),Burgers,Sandwiches	$$	3.5	84
Slices	Pizza	$	3.5	39
Harry’s Detroit	Sports Bars,American (Traditional)	$$	3.5	53
Le Petit Dejeuner	Breakfast & Brunch	$$	4.0	60
